empresa,region_casa_matriz,sector_actividad_principal,verticales_tecnologicas,verticales_lista,numero_verticales
Acústica Marina Spa,Los Ríos,S. Otras actividades de servicios,"Deep y/o machine learning, Internet de las cosas","['Deep y/o machine learning', 'Internet de las cosas']",2
Alga Vida Biotecnología Spa,Los Lagos,"A. Agricultura, ganadería, silvicultura y pesca","Agrotecnología, Biotecnología, Tecnologías alimentarias","['Agrotecnología', 'Biotecnología', 'Tecnologías alimentarias']",3
Ambia Consultores Ambientales Limitada,Biobío,"M. Actividades profesionales, científicas y técnicas","Energía, Medioambiente","['Energía', 'Medioambiente']",2
Aqua Analytix Spa,Los Ríos,"A. Agricultura, ganadería, silvicultura y pesca","Big Data, Deep y/o machine learning, Inteligencia artificial","['Big Data', 'Deep y/o machine learning', 'Inteligencia artificial']",3
Beep Bop Instruments Spa,Los Lagos,"M. Actividades profesionales, científicas y técnicas","Fotónica y electrónica, Sistemas de Instrumentación, Tecnologías biomédicas","['Fotónica y electrónica', 'Sistemas de Instrumentación', 'Tecnologías biomédicas']",3
Bioblock Force Spa,Los Ríos,"A. Agricultura, ganadería, silvicultura y pesca","Biotecnología, Nanotecnología","['Biotecnología', 'Nanotecnología']",2
Biogenesis Animal Health Spa,Los Lagos,"A. Agricultura, ganadería, silvicultura y pesca","Agrotecnología, Nanotecnología","['Agrotecnología', 'Nanotecnología']",2
Bioingentech,Biobío,"M. Actividades profesionales, científicas y técnicas","Biocomputación, Biomedicina, Biotecnología","['Biocomputación', 'Biomedicina', 'Biotecnología']",3
Bioproc Spa,Biobío,"M. Actividades profesionales, científicas y técnicas","Biotecnología, Medioambiente","['Biotecnología', 'Medioambiente']",2
Biotecnología E Innovación Spa,Los Ríos,"M. Actividades profesionales, científicas y técnicas","Biotecnología, Tecnologías alimentarias","['Biotecnología', 'Tecnologías alimentarias']",2
Bluebe Spa,Biobío,"M. Actividades profesionales, científicas y técnicas","Agrotecnología, Manufactura avanzada, Sistemas de Instrumentación","['Agrotecnología', 'Manufactura avanzada', 'Sistemas de Instrumentación']",3
Cadetech S A,Biobío,S. Otras actividades de servicios,"Computación de alto desempeño, Deep y/o machine learning, Tecnologías inalámbricas","['Computación de alto desempeño', 'Deep y/o machine learning', 'Tecnologías inalámbricas']",3
Capybara Spa,Biobío,P. Enseñanza,"Deep y/o machine learning, Inteligencia artificial, Tecnologías para la enseñanza","['Deep y/o machine learning', 'Inteligencia artificial', 'Tecnologías para la enseñanza']",3
Centro De Alta Tecnología Acuícola Austral Spa,Los Lagos,"A. Agricultura, ganadería, silvicultura y pesca","Energía, Inteligencia artificial, Manufactura avanzada","['Energía', 'Inteligencia artificial', 'Manufactura avanzada']",3
Centro De Investigacion En Recursos Naturales Spa,Biobío,"M. Actividades profesionales, científicas y técnicas","Big Data, Biocomputación, Medioambiente","['Big Data', 'Biocomputación', 'Medioambiente']",3
Centro De Investigacion Tecnologia E Innovacion Spa,Los Ríos,"A. Agricultura, ganadería, silvicultura y pesca","Biotecnología, Medioambiente","['Biotecnología', 'Medioambiente']",2
Cettem Instruments Ltda,Biobío,C. Industria manufacturera,,[],0
Cicla Spa,Biobío,C. Industria manufacturera,Materiales avanzados,['Materiales avanzados'],1
Comercializadora Agricola Y Forestal Pinares Ltda,Biobío,"A. Agricultura, ganadería, silvicultura y pesca","Agrotecnología, Movilidad","['Agrotecnología', 'Movilidad']",2
Comes Ti Spa,Biobío,S. Otras actividades de servicios,"Big Data, Inteligencia artificial","['Big Data', 'Inteligencia artificial']",2
Cosmética La Vie Spa,Biobío,Otro (¿Cuál?),Biotecnología,['Biotecnología'],1
Covis Spa,Biobío,C. Industria manufacturera,"Deep y/o machine learning, Inteligencia artificial, Internet de las cosas","['Deep y/o machine learning', 'Inteligencia artificial', 'Internet de las cosas']",3
Cryo Spa,Biobío,J. Información y comunicaciones,Ciberseguridad,['Ciberseguridad'],1
Ditnova Spa,Biobío,C. Industria manufacturera,Tecnología química,['Tecnología química'],1
Eitech Spa,Biobío,"M. Actividades profesionales, científicas y técnicas","Biomedicina, Dispositivos médicos, Tecnologías biomédicas","['Biomedicina', 'Dispositivos médicos', 'Tecnologías biomédicas']",3
Embau Ingenieria Spa,Los Lagos,"M. Actividades profesionales, científicas y técnicas","Inteligencia artificial, Internet de las cosas, Medioambiente","['Inteligencia artificial', 'Internet de las cosas', 'Medioambiente']",3
Envirolift Spa,Los Lagos,"M. Actividades profesionales, científicas y técnicas","Manufactura avanzada, Materiales avanzados, Medioambiente","['Manufactura avanzada', 'Materiales avanzados', 'Medioambiente']",3
Ewood Spa,Biobío,C. Industria manufacturera,"Manufactura avanzada, Movilidad","['Manufactura avanzada', 'Movilidad']",2
Exploracion Y Modelacion Geofisica Geologica Terradata Limitada,La Araucanía,"M. Actividades profesionales, científicas y técnicas","Agrotecnología, Medioambiente, Sistemas de Instrumentación","['Agrotecnología', 'Medioambiente', 'Sistemas de Instrumentación']",3
Felix Pezzi Farias,Los Lagos,"M. Actividades profesionales, científicas y técnicas","Agrotecnología, Medioambiente, Sistemas de Instrumentación","['Agrotecnología', 'Medioambiente', 'Sistemas de Instrumentación']",3
Floresencia Limitada,Biobío,C. Industria manufacturera,Biotecnología,['Biotecnología'],1
Geoelementos,Los Ríos,"M. Actividades profesionales, científicas y técnicas",Medioambiente,['Medioambiente'],1
Green Focus Solutions Spa,Biobío,"M. Actividades profesionales, científicas y técnicas","Agrotecnología, Biotecnología, Tecnologías alimentarias","['Agrotecnología', 'Biotecnología', 'Tecnologías alimentarias']",3
Inanis Spa,La Araucanía,J. Información y comunicaciones,"Big Data, Deep y/o machine learning, Inteligencia artificial","['Big Data', 'Deep y/o machine learning', 'Inteligencia artificial']",3
Ingenieria La Spa,Los Lagos,"M. Actividades profesionales, científicas y técnicas","Computación de alto desempeño, Manufactura avanzada, Sistemas de Instrumentación","['Computación de alto desempeño', 'Manufactura avanzada', 'Sistemas de Instrumentación']",3
Inversiones Oceanscan Spa,Los Lagos,"A. Agricultura, ganadería, silvicultura y pesca","Inteligencia artificial, Robótica","['Inteligencia artificial', 'Robótica']",2
Keepex Spa,Los Lagos,"A. Agricultura, ganadería, silvicultura y pesca","Internet de las cosas, Manufactura avanzada, Medioambiente","['Internet de las cosas', 'Manufactura avanzada', 'Medioambiente']",3
