empresa,region_casa_matriz,vertical
Acústica Marina Spa,Los Ríos,Deep y/o machine learning
Acústica Marina Spa,Los Ríos,Internet de las cosas
Alga Vida Biotecnología Spa,Los Lagos,Agrotecnología
Alga Vida Biotecnología Spa,Los Lagos,Biotecnología
Alga Vida Biotecnología Spa,Los Lagos,Tecnologías alimentarias
Ambia Consultores Ambientales Limitada,Biobío,Energía
Ambia Consultores Ambientales Limitada,Biobío,Medioambiente
Aqua Analytix Spa,Los Ríos,Big Data
Aqua Analytix Spa,Los Ríos,Deep y/o machine learning
Aqua Analytix Spa,Los Ríos,Inteligencia artificial
Beep Bop Instruments Spa,Los Lagos,Fotónica y electrónica
Beep Bop Instruments Spa,Los Lagos,Sistemas de Instrumentación
Beep Bop Instruments Spa,Los Lagos,Tecnologías biomédicas
Bioblock Force Spa,Los Ríos,Biotecnología
Bioblock Force Spa,Los Ríos,Nanotecnología
Biogenesis Animal Health Spa,Los Lagos,Agrotecnología
Biogenesis Animal Health Spa,Los Lagos,Nanotecnología
Bioingentech,Biobío,Biocomputación
Bioingentech,Biobío,Biomedicina
Bioingentech,Biobío,Biotecnología
Bioproc Spa,Biobío,Biotecnología
Bioproc Spa,Biobío,Medioambiente
Biotecnología E Innovación Spa,Los Ríos,Biotecnología
Biotecnología E Innovación Spa,Los Ríos,Tecnologías alimentarias
Bluebe Spa,Biobío,Agrotecnología
Bluebe Spa,Biobío,Manufactura avanzada
Bluebe Spa,Biobío,Sistemas de Instrumentación
Cadetech S A,Biobío,Computación de alto desempeño
Cadetech S A,Biobío,Deep y/o machine learning
Cadetech S A,Biobío,Tecnologías inalámbricas
Capybara Spa,Biobío,Deep y/o machine learning
Capybara Spa,Biobío,Inteligencia artificial
Capybara Spa,Biobío,Tecnologías para la enseñanza
Centro De Alta Tecnología Acuícola Austral Spa,Los Lagos,Energía
Centro De Alta Tecnología Acuícola Austral Spa,Los Lagos,Inteligencia artificial
Centro De Alta Tecnología Acuícola Austral Spa,Los Lagos,Manufactura avanzada
Centro De Investigacion En Recursos Naturales Spa,Biobío,Big Data
Centro De Investigacion En Recursos Naturales Spa,Biobío,Biocomputación
Centro De Investigacion En Recursos Naturales Spa,Biobío,Medioambiente
Centro De Investigacion Tecnologia E Innovacion Spa,Los Ríos,Biotecnología
Centro De Investigacion Tecnologia E Innovacion Spa,Los Ríos,Medioambiente
Cicla Spa,Biobío,Materiales avanzados
Comercializadora Agricola Y Forestal Pinares Ltda,Biobío,Agrotecnología
Comercializadora Agricola Y Forestal Pinares Ltda,Biobío,Movilidad
Comes Ti Spa,Biobío,Big Data
Comes Ti Spa,Biobío,Inteligencia artificial
Cosmética La Vie Spa,Biobío,Biotecnología
Covis Spa,Biobío,Deep y/o machine learning
Covis Spa,Biobío,Inteligencia artificial
Covis Spa,Biobío,Internet de las cosas
Cryo Spa,Biobío,Ciberseguridad
Ditnova Spa,Biobío,Tecnología química
Eitech Spa,Biobío,Biomedicina
Eitech Spa,Biobío,Dispositivos médicos
Eitech Spa,Biobío,Tecnologías biomédicas
Embau Ingenieria Spa,Los Lagos,Inteligencia artificial
Embau Ingenieria Spa,Los Lagos,Internet de las cosas
Embau Ingenieria Spa,Los Lagos,Medioambiente
Envirolift Spa,Los Lagos,Manufactura avanzada
Envirolift Spa,Los Lagos,Materiales avanzados
Envirolift Spa,Los Lagos,Medioambiente
Ewood Spa,Biobío,Manufactura avanzada
Ewood Spa,Biobío,Movilidad
Exploracion Y Modelacion Geofisica Geologica Terradata Limitada,La Araucanía,Agrotecnología
Exploracion Y Modelacion Geofisica Geologica Terradata Limitada,La Araucanía,Medioambiente
Exploracion Y Modelacion Geofisica Geologica Terradata Limitada,La Araucanía,Sistemas de Instrumentación
Felix Pezzi Farias,Los Lagos,Agrotecnología
Felix Pezzi Farias,Los Lagos,Medioambiente
Felix Pezzi Farias,Los Lagos,Sistemas de Instrumentación
Floresencia Limitada,Biobío,Biotecnología
Geoelementos,Los Ríos,Medioambiente
Green Focus Solutions Spa,Biobío,Agrotecnología
Green Focus Solutions Spa,Biobío,Biotecnología
Green Focus Solutions Spa,Biobío,Tecnologías alimentarias
Inanis Spa,La Araucanía,Big Data
Inanis Spa,La Araucanía,Deep y/o machine learning
Inanis Spa,La Araucanía,Inteligencia artificial
Ingenieria La Spa,Los Lagos,Computación de alto desempeño
Ingenieria La Spa,Los Lagos,Manufactura avanzada
Ingenieria La Spa,Los Lagos,Sistemas de Instrumentación
Inversiones Oceanscan Spa,Los Lagos,Inteligencia artificial
Inversiones Oceanscan Spa,Los Lagos,Robótica
Keepex Spa,Los Lagos,Internet de las cosas
Keepex Spa,Los Lagos,Manufactura avanzada
Keepex Spa,Los Lagos,Medioambiente
Konatec Spa,Biobío,Big Data
Konatec Spa,Biobío,Inteligencia artificial
Konatec Spa,Biobío,Sistemas de Instrumentación
Koyantu,Biobío,Agrotecnología
Koyantu,Biobío,Biomedicina
Koyantu,Biobío,Biotecnología
Kura Biotech Spa,Los Lagos,Biotecnología
Laboratorio Pasteur,Biobío,Biomedicina
Laboratorio Pasteur,Biobío,Tecnología farmacéutica
Laboratorio Pasteur,Biobío,Tecnología química
Laminas Chile,Biobío,Manufactura avanzada
Lemusse Desarrolla Spa,Biobío,Manufactura avanzada
Livematrix Biotech Spa,Biobío,Biomedicina
Livematrix Biotech Spa,Biobío,Biotecnología
Livematrix Biotech Spa,Biobío,Tecnologías biomédicas
Luis Manuel Aguirre España,Biobío,Otras tecnologías de alta sofisticación
Mares Limpios Spa,Los Lagos,Medioambiente
Mares Limpios Spa,Los Lagos,Tecnología química
Maria Loreto Mendoza Sobarzo Manufactura Y Comercializacion Eirl,Los Ríos,Manufactura avanzada
Maria Loreto Mendoza Sobarzo Manufactura Y Comercializacion Eirl,Los Ríos,Medioambiente
Melisa Institute Genomics Proteomics Spa,Biobío,Biomedicina
