region_casa_matriz,sector_actividad_principal,numero_empresas
Biobío,C. Industria manufacturera,11
Biobío,"M. Actividades profesionales, científicas y técnicas",11
Los Lagos,"M. Actividades profesionales, científicas y técnicas",8
Los Lagos,"A. Agricultura, ganadería, silvicultura y pesca",6
Los Ríos,"A. Agricultura, ganadería, silvicultura y pesca",6
Biobío,S. Otras actividades de servicios,5
Biobío,"A. Agricultura, ganadería, silvicultura y pesca",3
Los Ríos,"M. Actividades profesionales, científicas y técnicas",3
Biobío,"E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",2
Biobío,J. Información y comunicaciones,2
Biobío,Otro (¿Cuál?),2
Biobío,Q. Actividades de atención de la salud humana y de asistencia social,2
La Araucanía,C. Industria manufacturera,2
Los Ríos,C. Industria manufacturera,1
Los Lagos,P. Enseñanza,1
Los Lagos,"E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",1
La Araucanía,"A. Agricultura, ganadería, silvicultura y pesca",1
La Araucanía,"M. Actividades profesionales, científicas y técnicas",1
La Araucanía,J. Información y comunicaciones,1
Biobío,B. Explotación de minas y canteras,1
Biobío,"R. Actividades artísticas, de entretenimiento y recreativas",1
Biobío,P. Enseñanza,1
Biobío,H. Transporte y almacenamiento,1
Los Ríos,S. Otras actividades de servicios,1
